,Number,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
0,1.0,Henry Domercant,Eastern Illinois,30.0,33.7,28.2,8.8,19.2,0.46,3.0,6.8,0.434,7.6,9.0,0.844,2.0,4.8,6.8,2.8,1.4,0.5,2.3,2.1
1,2.0,Ruben Douglas,New Mexico,28.0,35.1,28.0,7.8,19.6,0.397,3.4,8.5,0.395,9.0,10.8,0.841,1.9,4.8,6.6,2.1,1.3,0.3,3.9,2.7
2,3.0,Mike Helms,Oakland,28.0,34.5,26.9,8.6,19.0,0.452,2.6,7.0,0.379,7.0,9.4,0.745,1.3,2.7,4.0,2.0,1.4,0.3,3.8,3.1
3,4.0,Michael Watson,UMKC,29.0,38.8,25.5,8.5,22.6,0.377,4.1,11.6,0.35,4.4,5.9,0.753,0.8,2.9,3.7,3.8,1.4,0.2,3.7,2.4
4,5.0,Troy Bell,Boston College,31.0,38.6,25.2,7.2,16.4,0.441,3.4,8.5,0.402,7.3,8.6,0.847,1.5,3.0,4.6,3.7,2.3,0.2,2.5,2.1
5,6.0,Kee-Kee Clark,Saint Peter's,29.0,38.2,24.9,8.0,20.1,0.396,3.8,9.6,0.392,5.2,6.1,0.853,0.8,2.4,3.3,4.2,1.4,0.2,4.0,1.9
6,7.0,Luis Flores,Manhattan,30.0,38.9,24.6,7.7,16.9,0.455,1.9,4.8,0.386,7.4,8.2,0.902,1.6,4.0,5.6,2.9,1.9,0.4,3.3,2.3
7,8.0,Chris Williams,Ball State,30.0,35.8,24.5,7.5,17.6,0.429,2.1,6.5,0.327,7.3,8.5,0.859,1.2,2.2,3.4,2.2,1.3,0.1,2.3,2.6
8,9.0,Mike Sweetney,Georgetown,34.0,32.0,22.8,7.8,14.2,0.547,0.0,0.1,0.0,7.3,9.9,0.738,4.1,6.7,10.8,1.9,1.4,3.2,2.1,2.8
9,10.0,Kevin Martin,Western Carolina,24.0,31.6,22.8,6.7,15.8,0.425,2.1,6.6,0.314,7.3,8.3,0.879,1.0,2.8,3.8,1.8,1.4,0.5,2.9,2.5
